Date,All,Food,Textile,House,Energy
1798,122,145,226,NA,131
1799,126,147,227,NA,150
1800,129,157,225,NA,159
1801,142,177,236,NA,167
1802,117,132,230,NA,153
1803,118,135,232,NA,152
1804,126,142,252,NA,182
1805,141,162,270,NA,196
1806,134,150,280,NA,153
1807,130,142,274,NA,161
1808,115,113,279,NA,148
1809,130,129,323,NA,147
1810,131,139,278,NA,167
1811,126,140,243,NA,166
1812,131,141,257,NA,185
1813,162,172,291,NA,334
1814,182,181,300,NA,525
1815,170,187,300,NA,318
1816,151,172,274,NA,190
1817,151,184,268,NA,141
1818,147,172,275,NA,149
1819,125,140,233,NA,162
1820,106,109,211,NA,157
1821,102,102,215,NA,142
1822,106,109,218,NA,138
1823,103,108,209,NA,131
1824,98,99,191,NA,133
1825,103,100,198,NA,131
1826,99,98,188,NA,138
1827,98,100,186,NA,137
1828,97,99,190,NA,138
1829,96,100,182,NA,133
1830,91,94,181,NA,116
1831,94,98,179,NA,112
1832,95,99,161,NA,137
1833,95,100,162,NA,111
1834,90,93,161,NA,101
1835,100,107,170,NA,111
1836,114,128,177,NA,130
1837,115,132,167,NA,130
1838,110,128,157,NA,121
1839,112,126,159,NA,122
1840,95,102,146,128,105
1841,92,90,140,121,111
1842,82,80,132,113,94
1843,75,77,114,99,87
1844,77,72,125,108,90
1845,83,84,125,107,96
1846,83,84,122,110,88
1847,90,96,117,117,90
1848,82,87,113,111,93
1849,82,88,111,110,93
1850,84,84,116,114,95
1851,83,84,115,117,87
1852,88,95,113,118,93
1853,97,98,119,128,102
1854,108,117,124,129,121
1855,110,126,125,129,102
1856,105,116,129,128,97
1857,111,123,138,130,97
1858,93,97,123,121,90
1859,95,99,120,118,93
1860,93,96,119,117,98
1861,89,89,120,110,80
1862,104,107,147,124,87
1863,133,123,206,165,125
1864,193,189,264,222,197
1865,185,180,266,214,214
1866,174,173,245,220,160
1867,162,167,220,196,144
1868,158,171,197,178,149
1869,151,154,194,178,166
1870,135,139,179,164,134
1871,130,130,170,154,152
1872,136,121,177,159,153
1873,133,122,175,160,148
1874,126,126,151,149,135
1875,118,120,141,134,128
1876,110,113,138,123,127
1877,106,115,125,118,108
1878,91,93,115,109,93
1879,90,90,114,105,80
1880,100,96,128,117,92
1881,103,106,119,109,91
1882,108,114,119,109,92
1883,101,103,116,110,89
1884,93,93,109,105,77
1885,85,84,105,99,72
1886,82,78,100,94,70
1887,85,86,98,92,70
1888,86,86,98,94,72
1889,81,79,99,94,71
1890,82,86,103,91,72
1891,83.20083682,88.86956522,98.62322946,89.20335637,78.7014756
1892,77.71129707,78.86956522,97.16430595,85.07107601,77.72077185
1893,79.68410042,85.65217391,98.52596789,84.44225074,77.96594779
1894,71.0209205,76.17391304,85.29839471,79.59131293,67.75028377
1895,70.24895397,72.60869565,83.25590179,75.27936821,64.72644722
1896,66.81799163,65.04347826,82.28328612,75.36920039,67.17820658
1897,67.41841004,68.08695652,80.5325779,73.93188549,66.76958002
1898,70.33472803,74,80.14353163,75.99802567,65.2985244
1899,75.05230126,73.30434783,87.4381492,80.57946693,63.66401816
1900,81.31380753,76.95652174,94.34372049,90.64067127,79.76390465
1901,81.31380753,78.86956522,88.31350331,89.92201382,81.72531215
1902,86.9748954,86.7826087,91.13408876,90.73050346,84.99432463
1903,86.11715481,80.26086957,96.87252125,92.61697927,97.5800227
1904,86.9748954,84.7826087,98.13692162,92.976308,93.33030647
1905,87.14644351,84.26086957,97.94239849,90.82033564,89.40749149
1906,90.4916318,84.17391304,105.1397545,93.51530109,89.08059024
1907,96.4958159,88.08695652,117.9782814,100.7018756,91.20544835
1908,92.9790795,93.30434783,101.0547686,99.71372162,92.75822928
1909,98.81171548,100.3478261,104.2644004,97.28825271,89.32576617
1910,101.8995816,102.8695652,110.0028329,98.27640671,87.93643587
1911,97.01046025,98.7826087,106.8904627,97.19842053,88.26333712
1912,102.9288703,108.5217391,105.5288008,97.8272458,89.97956867
1913,102.5857741,105.4782609,110.4891407,101.4205331,93.08513053
1914,102.0711297,108.8695652,106.8904627,101.869694,92.8399546
1915,103.1004184,110.173913,102.5136922,107.6189536,90.30646992
1916,122.7426778,129.4782609,134.9017941,128.7295163,108.2043133
1917,172.0627615,186.6956522,197.1491974,176.1609082,145.8796822
1918,195.0502092,195.5652174,274.5694051,242.7265548,153.0715096
1919,214.5209205,225.1304348,284.490085,242.9062192,153.4801362
1920,237.165272,225.1304348,342.8470255,316.3889437,216.8172531
1921,158.167364,147.3913043,194.2313503,234.3721619,183.3916005
1922,157.6527197,140.7826087,201.720491,201.6732478,193.2803632
1923,164.8577406,147.3043478,231.6770538,221.7058243,184.2088536
1924,161.2552301,151.6521739,217.7686497,217.2142152,174.6469921
1925,168.9748954,171.1304348,215.6288952,206.254689,173.5028377
1926,161.5983264,167.7391304,194.2313503,200.9545903,178.8967083
1927,156.0230126,158.9565217,188.2011331,197.0918065,173.4211124
1928,156.4518828,163.826087,192.1888574,189.7255676,145.8796822
1929,153.4497908,157.7391304,187.8120869,185.1441264,142.7741203
1930,134.665272,137.5652174,163.5939566,178.047384,138.1975028
1931,108.5041841,104.7826087,130.3305005,161.9674235,130.6787741
1932,91.00627615,85.73913043,105.2370161,148.2230997,128.4721907
1933,97.35355649,92.26086957,124.6893296,150.1095755,126.5925085
1934,114.3368201,110,144.6279509,163.225074,138.2792281
1935,125.8305439,130.5217391,143.3635505,158.5538006,140.4040863
1936,127.2029289,128.7826087,140.0566572,174.7235933,142.1203178
1937,137.4958159,135.3913043,152.700661,178.7660415,143.0192963
1938,119.5690377,115.7391304,127.7044381,168.0760118,142.7741203
1939,116.9100418,107.7391304,134.707271,168.5251728,139.7502838
1940,119.9121339,108.2608696,144.3361662,172.6574531,140.9761635
1941,139.8974895,128.8695652,175.7516525,196.0138203,153.3166856
